131765 1534.63 1289.78 99.999  9.999 17.606   0   0 9.999 6123  12 0.031
131766 1570.90 1290.05 19.416  1.903 17.513  90   0 0.058 6128  10 0.034
131768 1437.99 1293.39 19.041  1.866 17.175  89   0 0.039 6134   4 0.024
131773 1469.06 1302.10 19.549  1.184 18.365  89   1 0.053 6128   5 0.063
131774 1646.74 1300.64 19.107  1.525 17.582  89   1 0.037 6125  10 0.047
131775 1560.47 1300.47 19.707  1.931 17.776  89   0 0.075 6124  10 0.039
131778 1629.34 1304.60 18.703  1.365 17.338  90   0 0.030 6119  12 0.026
131782 1404.19 1307.24 18.842  1.389 17.452  89   1 0.030 6120  11 0.027
131783 1426.60 1308.23 19.834  2.260 17.573  89   0 0.082 6126   6 0.029
131785 1530.87 1309.16 19.077  1.625 17.452  88   1 0.040 6123  10 0.027
131787 1479.67 1310.44 18.920  1.456 17.465  90   0 0.031 6120  10 0.027
131793 1596.37 1315.47 18.145  1.157 16.987  90   0 0.019 6129   7 0.018
131794 1501.06 1319.27 18.764  1.678 17.086  89   0 0.027 6130   7 0.019
131797 1420.27 1320.22 18.505  1.222 17.283  89   0 0.091 6137   0 0.087
131798 1427.64 1321.18 18.295  1.243 17.053  90   0 0.020 6127   8 0.020
131799 1516.12 1322.22 18.943  1.294 17.649  89   0 0.031 6125   6 0.032
131801 1470.30 1325.67 18.454  1.311 17.142  90   0 0.021 6126   8 0.020
131802 1447.95 1327.46 18.985  1.772 17.212  90   0 0.038 6128  11 0.022
131803 1516.28 1330.72 18.990  1.714 17.277  89   0 0.041 6130   9 0.029
131806 1455.62 1335.88 19.465  1.623 17.842  89   0 0.063 6126   9 0.039
131808 1515.69 1335.96 19.142  1.579 17.564  88   1 0.034 6124   8 0.033
131810 1486.55 1339.86 18.685  1.573 17.112  89   0 0.024 6124  11 0.020
131816 1544.43 1347.88 18.331  1.271 17.060  89   1 0.018 6124  13 0.019
131817 1645.98 1348.62 18.993  1.393 17.600  90   0 0.041 6125   5 0.037
131825 1486.05 1352.01 19.057  1.302 17.755  89   0 0.035 6124   5 0.033
131826 1580.83 1354.50 19.661  1.532 18.129  90   0 0.103 6133   5 0.085
131829 1542.44 1358.09 19.057  1.484 17.573  89   0 0.043 6124  10 0.031
131830 1463.77 1359.88 18.926  1.678 17.248  89   0 0.036 6132   2 0.024
131831 1519.66 1359.94 19.483  1.857 17.626  89   0 0.040 6127   8 0.031
131836 1494.50 1368.54 18.387  1.213 17.175  90   0 0.024 6131   7 0.022
131837 1499.39 1370.92 18.727  1.812 16.915  89   1 0.032 6136   3 0.019
131838 1517.53 1370.10 19.226  1.777 17.450  89   0 0.041 6123  10 0.029
131841 1407.14 1375.35 18.038  1.056 16.982  90   0 0.048 6137   0 0.047
131842 1462.23 1375.74 18.086  1.225 16.861  90   0 0.022 6128  10 0.016
131845 1610.53 1376.28 19.222  1.567 17.654  88   1 0.038 6121   9 0.033
131849 1413.35 1382.16 18.355  1.369 16.987  90   0 0.020 6129   9 0.017
131852 1596.67 1382.66 20.560  2.855 17.704  86   0 0.119 6120   8 0.032
131859 1550.74 1389.22 18.859  1.230 17.628  89   1 0.029 6125  12 0.031
131863 1538.46 1397.22 18.521  1.284 17.237  90   0 0.023 6129   6 0.023
131867 1574.00 1406.43 18.068  1.009 17.058  90   0 0.017 6134   4 0.026
131868 1569.68 1401.74 18.987  1.521 17.466  89   1 0.036 6133   6 0.036
131872 1625.74 1416.77 18.155  1.189 16.967  89   1 0.021 6131   6 0.020
131874 1526.05 1417.17 18.551  1.424 17.127  90   0 0.023 6124  14 0.022
131875 1456.41 1417.31 18.740  1.304 17.436  90   0 0.030 6126   9 0.032
131877 1435.69 1421.62 18.571  1.343 17.228  90   0 0.024 6124  12 0.024
131879 1439.75 1423.41 18.544  1.374 17.169  90   0 0.024 6128   9 0.024
131881 1511.36 1424.46 18.990  1.511 17.479  89   0 0.033 6121   9 0.029
131882 1467.19 1425.59 18.847  1.345 17.502  89   0 0.032 6122  12 0.031
131884 1434.19 1429.83 19.063  1.587 17.476  90   0 0.034 6130   6 0.026
131886 1453.10 1432.06 18.840  1.242 17.598  88   1 0.035 6125   8 0.031
131887 1418.70 1434.08 18.901  1.555 17.346  90   0 0.035 6124  11 0.025
131889 1466.09 1434.82 19.065  1.526 17.539  89   1 0.037 6127   6 0.030
131890 1604.55 1434.60 18.439  1.121 17.318  89   0 0.024 6123  10 0.028
131893 1491.34 1435.88 18.333  0.986 17.347  90   0 0.026 6118  19 0.048
131895 1604.08 1438.39 18.754  1.681 17.073  88   1 0.030 6125   6 0.022
131898 1638.01 1445.15 19.147  1.554 17.592  90   0 0.039 6119   9 0.031
131906 1511.64 1457.92 18.869  1.457 17.412  89   0 0.034 6126  10 0.029
131909 1446.73 1461.72 19.108  1.658 17.450  89   0 0.034 6126   7 0.026
131912 1407.48 1465.18 18.718  1.287 17.431  90   0 0.029 6125   9 0.026
131915 1502.98 1467.51 19.190  1.574 17.617  88   1 0.037 6122   9 0.030
131917 1403.47 1468.86 18.598  1.299 17.299  90   0 0.028 6125  10 0.024
131918 1423.22 1468.32 19.125  1.474 17.651  90   0 0.036 6128   6 0.032
131919 1455.88 1470.50 18.215  1.191 17.024  90   0 0.021 6120  13 0.019
131920 1646.14 1469.16 18.992  1.268 17.724  89   0 0.036 6114   9 0.034
131923 1451.82 1473.40 18.736  1.247 17.489  90   0 0.035 6121  13 0.031
131937 1484.21 1483.18 19.103  1.422 17.682  89   0 0.033 6127   7 0.033
131938 1409.65 1486.37 18.662  1.692 16.970  90   0 0.027 6129  10 0.024
131940 1462.86 1487.91 19.529  1.809 17.721  89   0 0.055 6131   6 0.042
131943 1544.42 1494.26 18.418  1.163 17.255  90   0 0.027 6123  13 0.026
131944 1567.99 1493.89 18.877  1.786 17.091  89   0 0.032 6129   7 0.021
131948 1515.70 1502.32 18.693  1.497 17.197  90   0 0.039 6120  19 0.026
131951 1418.30 1504.01 18.800  1.325 17.475  90   0 0.033 6124  10 0.029
131952 1564.43 1503.80 18.529  1.306 17.223  90   0 0.025 6129   7 0.023
131953 1644.65 1504.65 18.876  1.392 17.484  89   0 0.030 6119   7 0.032
131957 1564.40 1509.58 18.775  1.821 16.954  90   0 0.037 6123  12 0.022
131958 1613.09 1512.67 18.803  1.380 17.423  89   0 0.027 6127   5 0.026
131960 1473.83 1516.60 99.999  9.999 17.623   0   0 9.999 6127  10 0.037
131961 1420.91 1518.09 19.244  1.580 17.664  90   0 0.053 6132   6 0.038
