142148 2134.09 2527.49 18.236  1.770 16.466  21   0 0.018  396   0 0.011
142150 1955.30 2530.51 18.882  2.549 16.333  21   0 0.019  415   1 0.010
142151 2159.30 2535.50 19.556  2.341 17.214  21   0 0.052  385   0 0.019
142153 2122.87 2541.02 18.926  2.391 16.534  21   0 0.048  400   0 0.021
142155 2001.57 2545.01 18.137  1.817 16.320  22   0 0.017  415   0 0.010
142156 2161.58 2547.70 19.306  2.444 16.862  20   0 0.027  380   1 0.013
142158 1811.77 2559.92 18.806  2.404 16.402  21   0 0.020  417   0 0.010
142159 1948.09 2557.69 19.620  2.569 17.051  20   0 0.033  414   2 0.016
142161 1853.86 2561.22 18.920  1.920 17.000  21   0 0.022  416   1 0.016
142162 2196.77 2561.44 19.623  2.579 17.043  17   0 0.044  327   3 0.016
142163 1921.46 2562.34 18.919  2.231 16.688  20   0 0.022  416   1 0.012
142164 2186.79 2564.73 18.676  2.335 16.341  19   0 0.019  348   2 0.010
142165 1783.65 2573.46 19.011  2.509 16.502  21   0 0.032  417   0 0.012
142166 2108.13 2572.92 18.907  2.255 16.652  21   0 0.034  405   0 0.012
142168 2189.92 2587.27 19.110  1.962 17.148  18   1 0.019  343   0 0.020
142170 2103.35 2594.60 18.839  2.343 16.496  21   0 0.020  405   2 0.011
142171 1825.15 2594.36 18.663  1.675 16.988  22   0 0.028  417   0 0.018
142172 2108.06 2596.72 18.668  1.732 16.936  22   0 0.023  405   0 0.016
142173 2133.46 2600.71 18.717  2.477 16.240  21   0 0.026  396   1 0.009
142174 2180.05 2601.01 18.954  1.862 17.093  20   0 0.093  362   0 0.077
142175 2083.11 2607.06 18.998  2.194 16.804  20   1 0.028  408   1 0.014
142176 1826.66 2618.71 19.140  1.816 17.325  21   0 0.028  416   1 0.023
142177 2046.05 2618.29 19.435  2.412 17.023  20   0 0.033  414   0 0.017
142178 1850.85 2624.85 18.536  1.791 16.746  21   0 0.019  417   0 0.012
142179 1768.07 2627.34 19.267  2.502 16.764  20   0 0.029  417   0 0.012
142180 2003.29 2630.41 18.321  1.353 16.968  21   0 0.017  414   1 0.015
142182 1822.22 2634.96 18.721  2.465 16.256  21   0 0.033  417   0 0.009
142183 2125.02 2637.82 19.316  2.373 16.943  21   0 0.031  397   2 0.016
142184 2156.36 2638.25 19.430  2.368 17.063  20   0 0.033  386   0 0.016
142186 2196.67 2642.40 19.517  2.431 17.086  17   0 0.047  329   1 0.017
142187 1943.85 2644.29 18.668  2.200 16.468  21   0 0.024  416   1 0.012
142188 1959.23 2643.84 19.377  2.669 16.708  22   0 0.068  416   0 0.065
142189 1822.48 2649.64 18.758  1.999 16.758  21   0 0.019  416   1 0.014
142190 2118.88 2653.75 18.870  2.515 16.355  21   0 0.020  399   1 0.010
142191 1848.43 2662.84 19.620  2.572 17.048  20   0 0.059  416   1 0.017
142192 1901.63 2664.31 17.994  1.614 16.379  22   0 0.014  416   1 0.011
142194 1933.86 2668.47 18.964  2.501 16.463  21   0 0.028  416   1 0.011
142195 1974.63 2673.96 18.705  2.468 16.237  21   0 0.018  416   0 0.009
142196 2165.15 2672.71 19.213  2.295 16.919  22   0 0.053  379   2 0.025
142197 1879.34 2676.64 19.185  2.414 16.770  19   1 0.019  416   1 0.014
142198 2111.21 2675.97 19.482  2.617 16.865  20   0 0.067  404   1 0.026
142199 2107.16 2680.67 19.091  2.016 17.074  22   0 0.057  405   1 0.078
142201 1800.60 2687.80 19.535  2.542 16.992  20   0 0.036  416   1 0.015
142202 2172.57 2690.89 18.743  2.089 16.653  20   0 0.020  368   1 0.015
142203 2050.78 2691.82 18.837  2.283 16.554  21   0 0.023  413   0 0.011
142204 1994.20 2693.17 18.969  1.837 17.132  21   0 0.032  415   0 0.016
142205 2103.58 2696.40 18.922  2.420 16.502  21   0 0.045  404   3 0.021
